Sentiment,stem_data
negative,meresahkan
negative,gelatak
negative,instansi
negative,kerik
negative,sempit
negative,jolak
negative,bersikukuh
negative,bersokom
negative,menghinggapi
negative,ogah-ogahan
negative,drama
negative,kene
negative,tepu
negative,usang
negative,terpaku
negative,tarak
negative,opium
negative,kolam
negative,menggigi
negative,selerang
negative,berat tulang
negative,tumor
negative,kemurkaan
negative,acu
negative,seberang
negative,tepi
negative,memusuhi
negative,jilatan
negative,bersangk
negative,ikut-ikutan
negative,penjuru
negative,gedor
negative,waham
negative,bertelinga lembut
negative,merayah
negative,denai
negative,farak
negative,salah tingkah
negative,garu
negative,langsai
negative,menggana
negative,menanggang
negative,adat
negative,bruto
negative,celuk
negative,baskom
negative,menyurihkan percakapan
negative,merinci
negative,berapit
negative,tatak
negative,menelaah
negative,liang
negative,biarawati
negative,condong
negative,kotoran
negative,luang
negative,mairat
negative,apit
negative,bertimbang
negative,sarit
negative,bernyawa
negative,kotor
negative,menggeret
negative,menyenggau
negative,menyenggak
negative,kacip
negative,seksualita
negative,juz
negative,pendapatan
negative,sarik
negative,membayar
negative,tersia-sia
negative,mengobarkan
negative,cena
negative,pendusta
negative,terberak
negative,ketahuan
negative,mencuca
negative,antap
negative,menikam
negative,embek
negative,amin
negative,rongga
negative,landasan (pesawat udara)
negative,
negative,berlarat-larat
negative,tekad
negative,empuk
negative,menidurkan
negative,bidai
negative,konkurensi
negative,bersand
negative,
negative,delegasi
negative,
negative,mengisbatkan
negative,tinja
negative,lawan
negative,pengar
negative,ikan kena tuba
negative,ceriwi
negative,kutut
negative,genjang
negative,usul
negative,filo
negative,pergesekan
negative,berbabil
negative,menghapu
negative,pemupusan
negative,jajal
negative,abolisi
negative,doa
negative,kawula
negative,comp
negative,teratur
negative,kelipar
negative,jerepet
negative,menghunjam
negative,peletan
negative,aparatu
negative,gembel
negative,menyungguhkan
negative,menagih
negative,kacangan
negative,lengah
negative,berjauh hati
negative,conteng
negative,tertumbuk akal
negative,lenga
negative,terlepa
negative,gurauan
negative,kharab
negative,keputusasaan
negative,palat
negative,validita
negative,penyinaran
negative,menyabak
negative,fese
negative,gebok
negative,tele
negative,palolo
negative,liang jimak
negative,tertutup
negative,menyetor
negative,bunduk
negative,kebodohan
negative,potel
negative,bendu
negative,bermukim
negative,banat
negative,usrek
negative,mengejikan
negative,serindai
negative,memfatwakan
negative,bersebelahan
negative,lafal
negative,terlangkaui
negative,gembrot
negative,petanda
negative,sistematik
negative,cekluk
negative,tensi
negative,suni
negative,modal
negative,
negative,sistemati
negative,larut
negative,berlepasan
negative,takaran
negative,informasi
negative,osteoporosi
negative,ajang
negative,geret
negative,hakam
negative,terjengkang
negative,keris
negative,penurunan
negative,kalang-kabut
negative,urita
negative,perkawinan
negative,pelerai
negative,geletik
negative,congek
negative,gosok
negative,pengangkutan
negative,berlabuh
negative,ketu
negative,solek
negative,senyur
negative,berdakwa
negative,tersirep
negative,bunga hati
negative,menusuk-nusuk
negative,memekik
negative,tumpasan
negative,susur tangan
negative,safinah
negative,robek
negative,aplikasi
negative,mustaka
negative,menunggu
negative,cekatan
negative,ketul
negative,tercantol
negative,menginsinuasi
negative,menerima kenyataan
negative,
negative,korupsi
negative,menongkrong
negative,mengolet
negative,penurut
negative,jengkel
negative,berteman
negative,menggelup
negative,resah
negative,terlalah
negative,belati
negative,lahang
negative,laur
negative,caplak
negative,anak
negative,gang
negative,bertelanjang
negative,ocehan
negative,angguran
negative,puputan
negative,terbuka (mata)
negative,kiamat
negative,menyanggah
negative,menendang
negative,menginterupsi
negative,merunjang
negative,berserakan
negative,
negative,jerat
negative,eklekti
negative,pengantara
negative,menerpa
negative,mencura
negative,bersila
negative,menyerahkan jiwa raga
negative,menganeksasi
negative,wara
negative,sun
negative,mempertimbangkan
negative,darah
negative,sember
negative,percabangan
negative,menambak
negative,pencemaran
negative,jeput
negative,mengedrop
negative,mangut
negative,sorangan
negative,dangkal
negative,spion
negative,terluki
negative,kesomplok
negative,mencengkelong
negative,pengang
negative,formal
negative,prosai
negative,seni
negative,gebung
negative,tercema
negative,gabal
negative,menyayat hati
negative,menyela
negative,belu-belai
negative,membohongi
negative,kembung
negative,kehuru-haraan
negative,keliru
negative,serabutan
negative,batuk
negative,merawat
negative,gerep
negative,tersayat
negative,balairung
negative,seru
negative,samar
negative,ingsut
negative,siklon
negative,menentang
negative,bunga
negative,rancap
negative,diskrepansi
negative,rancau
negative,berpusu
negative,gencat
negative,bertonggakkan
negative,puyan
negative,berkerumun
negative,terlalaikan
negative,ena
negative,memuakkan
negative,lincah
negative,rancak
negative,telantar
negative,mati pucuk
negative,congkak
negative,apkir
negative,berapat-rapat
negative,caku
negative,menggasak
negative,mewujud
negative,morfin
negative,bongkong
negative,bersabung nyawa
negative,bergaul
negative,aco-acoan
negative,pencolek api
negative,menyikat
negative,timbangan
negative,mendiami
negative,bergajul
negative,erangan
negative,
negative,slebor
negative,bertebaran
negative,birah
negative,ajakan
negative,caci
negative,keluhan
negative,memuluskan
negative,tuah
negative,demek
negative,
negative,mencekik
negative,lihai
negative,bersempena
negative,taun
negative,menggunung
negative,berakar
negative,taut
negative,raguk
negative,tua
negative,merdesa
negative,mala
negative,keder
negative,petuga
negative,mencamuk
negative,pusung
negative,kincit
negative,cemeh
negative,kafilah
negative,lolo
negative,berhati walang
negative,terpisah
negative,menceret
negative,inaugurasi
negative,menjeburkan
negative,rompong
negative,tingau
negative,penghapu
negative,tahi
negative,menghina(kan) melanyak
negative,bertapa
negative,menyadau
negative,menyemangati
negative,permai
negative,cerita burung
negative,kelusuh-kelasah
negative,menuba
negative,peserta
negative,tertunda
negative,bersandarkan
negative,narasi
negative,mengonslah
negative,bengkok
negative,perut
negative,menget
negative,menimbang-nimbang
negative,marah
negative,buang air
negative,sumb
negative,seranah
negative,seman
negative,sigap
negative,wangsit
negative,mencungkil
negative,menguar
negative,membentak
negative,jodoh
negative,asumsi
negative,cupul
negative,berlompatan
negative,tulang
negative,arbitr
negative,pikiran
negative,kerosek
negative,jobak
negative,sereng
negative,bertumbuk
negative,jongkok
negative,tek
negative,ranai
negative,hakiki
negative,geladir
negative,anak air
negative,sangsi
negative,embat
negative,kesusahan
negative,garang
negative,bangkang
negative,lintar
negative,dangkap
negative,kejar
negative,persediaan
negative,el
negative,erot
negative,bertemu roma
negative,mam
negative,menyerampang
negative,menganjurkan
negative,bekicot
negative,bangl
negative,usikan
negative,teladan
negative,patuk
negative,daya upaya
negative,patut
negative,bertautan
negative,menyungkit
negative,lata
negative,bengkerap
negative,senat
negative,bercorak
negative,kekerabatan
negative,luntur
negative,bersebaran
negative,deklarasi
negative,relevansi
negative,kedut
negative,idola
negative,toboh
negative,tercerai
negative,senteng
negative,merefleksikan
negative,berjihad
negative,simpatik
negative,timbul
negative,timbun
negative,tercekluk
negative,kunarpa
negative,pialang
negative,penubuhan
negative,terudak
negative,berat ekor
negative,kasep
negative,keremu
negative,gagap
negative,mematut-matut
negative,cakap angin
negative,cercah
negative,menguburkan
negative,gembil
negative,hilang semangat
negative,mereken
negative,membakar
negative,menengahi
negative,sambit
negative,belingsat
negative,lembaga
negative,seluk-beluk
negative,menyita
negative,oyong
negative,membukukan
negative,menyebelah
negative,menancap
negative,bebat
negative,menyusup
negative,pendek akal
negative,memb
negative,kelengangan
negative,menyembilu
negative,mumi
negative,cempala mulut
negative,putih
negative,beralaskan
negative,tetesan darah
negative,bulsak
negative,gapura
negative,peruntungan
negative,pembabil
negative,ajar
negative,angkup
negative,geregetan
negative,tinju
negative,mengisruhkan
negative,inferior
negative,mengunyah
negative,titik berat
negative,ahli bahasa
negative,bertengkar
negative,terdampar
negative,cempelung
negative,penata
negative,
negative,gempuran
negative,jemari
negative,resesi
negative,bongkar-bangkir
negative,reca
negative,roh jahat
negative,pub
negative,berat otak
negative,bertarak
negative,mengia
negative,kemuraman
negative,penutur bahasa
negative,basi
negative,menyings
negative,penindasan
negative,sayu rayu
negative,tangisan
negative,ampel
negative,mengharukan
negative,lotr
negative,
negative,amtenar
negative,ketuat
negative,mengarik
negative,dongkel
negative,riuk
negative,wejang
negative,rompyok
negative,cincong
negative,terbangai
negative,kuno
negative,ketumbukan
negative,
negative,kesengsaraan
negative,
negative,dina
negative,tekek
negative,mengeremu
negative,sapi jantan
negative,warta
negative,pumpun
negative,berlawanan
negative,sivilisasi
negative,batuk lelah
negative,laluan
negative,membeda-bedakan
negative,kapal
negative,melaksanakan
negative,emper
negative,terdesak
negative,mencetak
negative,tumpul otak
negative,tertegak
negative,kebentok
negative,tersuruk
negative,bertalun-talun
negative,stori
negative,bongak
negative,bertokok
negative,renyem
negative,ruyup
negative,embu
negative,memperhitungkan
negative,jamin
negative,kere
negative,cumbuan
negative,gempita
negative,penarah
negative,kardin
negative,edaran
negative,berpada-pada
negative,lebar
negative,
negative,menumpa
negative,akar
negative,berkilah
negative,gebang
negative,menonjolkan
negative,
negative,menggoyahkan menggerakkan
negative,menggema
negative,metod
negative,berkeras-kerasan
negative,memantai
negative,berkarat
negative,memantak
negative,gara-gara
negative,perbaraan
negative,legalisasi
negative,gurau
negative,gind
negative,
negative,tunggul
negative,
negative,karu
negative,kilang
negative,tosan aji
negative,mulut gapil
negative,agen
negative,menekankan
negative,adab
negative,menyelinap
negative,berdoa
negative,ketimpangan
negative,parlent
negative,sontak
negative,gendut
negative,geli
negative,bersisalak
negative,zero
negative,melantak
negative,bertian
negative,pasal
negative,simak
negative,main kayu
negative,azimat
negative,menjalari
negative,kompleksita
negative,mengerkau
negative,garit
negative,selubung
negative,jembalang
negative,tersirah
negative,beragam
negative,silang selisih
negative,kebangkitan
negative,amah
negative,ceracau
negative,cegak
negative,ceracam
negative,mengorek
negative,watu
negative,berduaan
negative,indolen
negative,sapi
negative,goyah
negative,mufli
negative,kerabat
negative,kedai minuman
negative,kabin
negative,pekir
negative,berzikir
negative,penyelidikan
negative,menyatukan
negative,semaput
negative,kempa
negative,rangkul
negative,berlandaskan
negative,serangan
negative,pukulan
negative,ukir
negative,hamil
negative,membobol
negative,penumpang
negative,kegaduhan
negative,cengung
negative,hamik
negative,kambuh
negative,tukar
negative,tuka
negative,bahlul
negative,merunyamkan
negative,makan bawang
negative,menyodorkan
negative,beringsut
negative,sangit
negative,belendung
negative,malu mata
negative,bersiteguh
negative,peragaan
negative,bertemperasan
negative,meranggah
negative,reput
negative,kebirahan
negative,mengayunkan
negative,memberanta
negative,bertudung lingkup
negative,nyenyak
negative,sumpek
negative,berguam
negative,memeriksa
negative,kada
negative,langkap
negative,menyalakan
negative,inai
negative,menggarangkan
negative,giang
negative,rayah
negative,menghabisi
negative,bersangkut
negative,langkan
negative,ambil
negative,urun
negative,mencemat
negative,nyenyat
negative,bergolak
negative,berzina
negative,memikirkan
negative,pencahayaan
negative,ternoda
negative,talun
negative,bedel
negative,kasip
negative,sila
negative,sapit
negative,terpa
negative,keran
negative,berselisih
negative,kerai
negative,oposisi
negative,hardik
negative,sifer
negative,menyakatkan
negative,meranyah
negative,penghambat
negative,gerombong
negative,merambak
negative,cadang
negative,gela
negative,dage tumbuh
negative,penongkat senduk
negative,berserah
negative,lelembut
negative,menembi
negative,muru
negative,bertukar akal
negative,kemunduran
negative,rengeh
negative,angit
negative,tajak
negative,porak-poranda
negative,terjungk
negative,reba
negative,meladeni
negative,retak
negative,
negative,belulang
negative,jembel
negative,pembersih
negative,biksah
negative,mayit
negative,tersampuk
negative,inga
negative,afiliasi
negative,kaki ayam
negative,persesuaian bunyi
negative,mengendur
negative,menggelogok
negative,menghancurkan
negative,tercengung
negative,lambang
negative,berpangku tangan
negative,meredik
negative,bangkai
negative,defisit
negative,getaran
negative,kelangkan
negative,tapa-tapa
negative,semenggah
negative,terkejar
negative,baktau
negative,cace
negative,menggabungkan
negative,uyuh
negative,pilu
negative,membaik
negative,beregu
negative,cendala
negative,mengempi
negative,mengawali
negative,memanggang
negative,merukunkan
negative,bambung
negative,teperlu
negative,bandit
negative,omongan
negative,menggeleng
negative,celaan
negative,menyeberang
negative,berpalit-palit
negative,bersembahyang
negative,gaung
negative,semburan
negative,menyabung
negative,lecap
negative,dapra
negative,membocorkan
negative,himpunan
negative,tersara bara
negative,banteng
negative,bergamit
negative,bersempura
negative,mengonyok
negative,kabinet
negative,serakan
negative,maherat
negative,onak
negative,kecabuhan
negative,berkuliah
negative,merapunkan
negative,bergosok
negative,dum
negative,rasio
negative,satir
negative,getap
negative,terjerumu
negative,jerau
negative,pa
negative,melulu
negative,khabi
negative,mengemukakan
negative,penyadur
negative,pangkal kerongkongan
negative,iman
negative,memasak
negative,cium
negative,awut
negative,kroni
negative,paroki
negative,cotok
negative,antun
negative,kuyu
negative,pasangan hidup
negative,udara
negative,biji buah
negative,mitra
negative,tabungan
negative,bersuka-sukaan
negative,memerli
negative,abon
negative,dinasti
negative,mencegah
negative,beranang
negative,nanar
negative,nakal
negative,mendunga
negative,senyap
negative,muatan
negative,tertinda
negative,grip
negative,berburuk
negative,huda
negative,kayangan
negative,alai-belai
negative,domba
negative,menyiksa
negative,sumpah serapah
negative,kekotoran
negative,rim
negative,cerup
negative,joto
negative,ragam
negative,menggoyangkan
negative,geladah
negative,lingsir
negative,open
negative,obsolet
negative,bengi
negative,ongkang-ongkang
negative,anggai
negative,gemeletek
negative,memaki
negative,otak telur
negative,gere
negative,memaku
negative,berpadu
negative,menelanjangi
negative,rute
negative,konsistensi
negative,berakhlak
negative,puse kele
negative,nyanyang
negative,dekil
negative,tapak kaki
negative,bonu
negative,cahari
negative,berpartai
negative,seluk beluk
negative,gemblung
negative,kenyih
negative,menambu
negative,bergaduh
negative,bentrok
negative,paganism
negative,bercintaan
negative,seko
negative,gabuk
negative,tiup-tiup
negative,berseloroh
negative,keletah
negative,sampur
negative,pameran
negative,pelaksanaan
negative,merencah
negative,mendongkolkan
negative,sampul
negative,sampuk
negative,langi
negative,cempera
negative,malapetaka
negative,ampu
negative,peluru
negative,tim
negative,menyorongkan
negative,lacur
negative,mendiskreditkan
negative,kendatipun
negative,pasak
negative,berkolusi
negative,buka
negative,izin
negative,garib
negative,menghirup
negative,mendebarkan
negative,panji-panji
negative,berengsaan
negative,saksama
negative,guyon
negative,butek
negative,menyamakan
negative,meremang
negative,bertapakkan
negative,kolap
negative,bengap
negative,menyabot
negative,menekan
negative,kecipir
negative,bertentangan
negative,dwiganda
negative,bergaung
negative,keaiban
negative,meruak
negative,teknik
negative,khalwat
negative,wasit
negative,menampik
negative,ke-tidakjelasan
negative,empang
negative,berganggang
negative,pengukuhan
negative,menggunt
negative,jelukan
negative,pretel
negative,intimidasi
negative,hadang
negative,penyepit
negative,mencerup
negative,jariji
negative,penghukuman arestasi
negative,mendidi
negative,mendidih
negative,membabat
negative,bersendi
negative,bukat
negative,sunam
negative,pengotoran
negative,gari
negative,mengejutkan
negative,menanggulangi
negative,tertubruk
negative,kukul
negative,jembatan
negative,sambaran
negative,tumandang
negative,begana-begini
negative,alamiah
negative,hantam kromo
negative,
negative,babil
negative,berpuaka
negative,mengazabkan
negative,pikat
negative,melaknat
negative,berpura-pura
negative,lungkang
negative,bercura
negative,kasim
negative,meloya
negative,membembam
negative,mengedut
negative,bertelimpuh
negative,cobaan
negative,hengkang
negative,akreditasi
negative,mendarat
negative,leler
negative,senior
negative,meninda
negative,dompleng
negative,dahiat
negative,menyemak
negative,menggeligi
negative,minim
negative,menggarit
negative,haru biru
negative,cempung
negative,memadatkan
negative,parlemen
negative,tanggungan
negative,ceruk
negative,talenan
negative,odoh
negative,budek
negative,jaruman
negative,barbar
negative,tampuk
negative,sobek
negative,berperang hati
negative,
negative,kebingungan
negative,peniti
negative,mund
negative,letup
negative,letu
negative,modar
negative,berduyun-duyun
negative,menengk
negative,mengayun
negative,menempel
negative,singkat akal
negative,menyalak
negative,kebun
negative,hasad
negative,penyanggah
negative,ziarah
negative,menggila
negative,selektif
negative,anak cucu
negative,bergelegak
negative,muntup
negative,berbadan
negative,mengudak
negative,alahan
negative,kekerasan
negative,kelamin
negative,mengoyok
negative,kunjung
negative,gelung
negative,berongga
negative,kelengar
negative,lopak-lapik
negative,setimp
negative,mariyuana
negative,mahkamah
negative,bertaburan
negative,terjerohok
negative,ringkik
negative,caba
negative,anekdot
negative,tenggarang
negative,mengembu
negative,kobaran
negative,menggelingsir
negative,leduk
negative,serengit
negative,sentilan
negative,menggelinyau
negative,menggondol
negative,kelimut
negative,gorong-gorong
negative,aksa
negative,berdengu
negative,memikat
negative,serik
negative,otak ayam
negative,mengenyam
negative,membeg
negative,pengingkaran
negative,grup
negative,meruntun
negative,ua
negative,
negative,uber
negative,hinaan cacian
negative,benah hati
negative,lunca
negative,pengecoh
negative,darat
negative,syak
negative,lakon
negative,bergumam
negative,bimbang
negative,tengkoh
negative,mengorup
negative,cura
negative,pranat
negative,berkerubung
negative,sepit
negative,ura
negative,beradu mulut
negative,
negative,kulak
negative,cantrik
negative,titi
negative,bergerombol
negative,invalid
negative,
negative,
negative,besi tua
negative,brokat
negative,bercempera
negative,menggagalkan
negative,menilai
negative,khatimah
negative,argumen
negative,keropok
negative,draw
negative,terkuak
negative,beramuk
negative,membeslah
negative,cace pita
negative,lelung
negative,tubuh
negative,batang
negative,beol
negative,caruk
negative,mencengkam
negative,kenan
negative,bagu
negative,berband
negative,carut
negative,sipongang
negative,membajak
negative,info
negative,ladang
negative,awur
negative,aiku
negative,berkhianat
negative,pasokan
negative,bergoyah
negative,menuntut
negative,cengger
negative,timpuk
negative,centang
negative,cace palolo
negative,gagang
negative,cace hitadid
negative,reaksi
negative,berlipat ganda
negative,melandai
negative,berkeping-kep
negative,mengagak-agak
negative,jalan layang
negative,gamat
negative,terkocok
negative,bentak
negative,berumpun
negative,bentan
negative,ngeang
negative,kematian
negative,miskin
negative,kesuraman
negative,pekuk
negative,asmara
negative,praduga
negative,merejeng
negative,berbiak
negative,trayek
negative,arik
negative,mewakili
negative,implikasi
negative,terpulang
negative,memosisikan
negative,demonstrasi
negative,mengambang
negative,kepenatan
negative,kekecewaan
negative,caci maki
negative,menangk
negative,membandingkan
negative,travesti
negative,memangku
negative,fatal
negative,celih
negative,manasuka
negative,perang mulut
negative,peradam
negative,bertasyakur
negative,goyang
negative,menyayung
negative,embah
negative,sabil
negative,terpuruk
negative,manifestasi
negative,pembarut
negative,memantang
negative,sabit
negative,bahaya
negative,berbohong
negative,menaklukkan
negative,mengoleng
negative,beloon
negative,terkam
negative,horor
negative,lutu
negative,suka hati
negative,bantar
negative,akut
negative,mengikhtisarkan
negative,terguncang
negative,tanggul
negative,usak
negative,serampangan
negative,presentasi
negative,kiki
negative,comblang
negative,jalang
negative,menghasut
negative,polusi
negative,sumarah
negative,seled
negative,firasat
negative,buncah
negative,yunior
negative,korup
negative,kabil
negative,kapuk
negative,fosil
negative,puaka
negative,ogel
negative,kecaman
negative,biji mata
negative,berbisa
negative,purbasangka
negative,
negative,kafe
negative,menampakkan
negative,kecapan
negative,jarum
negative,awut-awutan
negative,terjepit
negative,tugal
negative,kicik
negative,bermesraan
negative,gelopak
negative,menyenangkan
negative,rekam
negative,mendapati
negative,kekhawatiran
negative,peretel
negative,ngotot
negative,kontak
negative,memanjatkan doa
negative,
negative,bertunangan
negative,karangan
negative,bilik
negative,pertentangan
negative,tumbang vertik
negative,serasi
negative,tersusul
negative,ikat rambut
negative,berperai-perai
negative,upah
negative,meleja
negative,mencebur
negative,ketenangan
negative,manggak
negative,menengkar
negative,getun
negative,si polan
negative,burai
negative,tengku
negative,kecantol
negative,bala bencana
negative,menceng
negative,berceloteh
negative,sesat pusat
negative,bendoro
negative,menipu
negative,aksioma
negative,ekor
negative,broker
negative,menghadiahkan
negative,berwarna
negative,mencerkau
negative,terempa
negative,ganda
negative,bela
negative,mengejar
negative,tua bangka
negative,
negative,
negative,penggali
negative,daki
negative,pembudayaan
negative,bulan-bulanan
negative,menyesalkan
negative,menghancurluluhkan
negative,bahtera
negative,jiplak
negative,dedemit
negative,pembelit
negative,janggal
negative,bertingkuh
negative,menaruh syak
negative,kepincangan
negative,sudi
negative,meraut
negative,berdesakan
negative,penghalang
negative,peni
negative,urgen
negative,memidana
negative,badai
negative,sering
negative,jajah
negative,anak bukit
negative,merisak
negative,redang
negative,salak
negative,ancai
negative,menyawar
negative,terambau
negative,rida
negative,berhujah
negative,wejangan
negative,sosi
negative,gembol
negative,sirkul
negative,timah pana
negative,aru-aru
negative,
negative,menukik
negative,lorong
negative,mempertaruhkan
negative,roda
negative,dara
negative,menggadaikan
negative,sudu
negative,jeran
negative,memegat
negative,menegangkan
negative,slip
negative,hangat
negative,menjerit
negative,hisap
negative,terpojok
negative,silu
negative,pentung-pentungan
negative,deraan
negative,tala
negative,menggebo
negative,berdusta
negative,cuai
negative,berpencaran
negative,resap
negative,menjelek-jelekkan
negative,usul
negative,sepenuhnya
negative,tedak
negative,pale
negative,mendesak
negative,menggempur
negative,rintik
negative,solokan
negative,brengsek
negative,menggaduhkan
negative,hawa
negative,sulalah
negative,membatasi
negative,ranyah
negative,menjunam
negative,terjang
negative,alkisah
negative,merandu
negative,gulana
negative,kromati
negative,belaian
negative,menggigih
negative,obral
negative,bergurau senda
negative,batal
negative,bata
negative,gelagat
negative,gegetun
negative,menggali-gali
negative,berawan
negative,cecap
negative,melepek
negative,pegal hati
negative,wedu
negative,penyangga
negative,penyertifikatan
negative,
negative,butut
negative,rendah
negative,memerusa
negative,ciuman
negative,plongah-plongoh
negative,sobat
negative,penanggalan
negative,wawa
negative,beradu lidah
negative,memorakporandakan
negative,lengkap
negative,butuh
negative,murka
negative,mengandung
negative,ikat janji
negative,dungu
negative,terlulur
negative,kelati
negative,raba
negative,
negative,menjamin
negative,engkau
negative,mencempung
negative,perantara
negative,buhuk
negative,semprotan
negative,bergosokan
negative,lindap
negative,sungguhpun
negative,auta
negative,harap-harap
negative,geretan
negative,ingar
negative,labuda
negative,nihil
negative,selokan
negative,juru damai
negative,berhantaran
negative,kelesuan
negative,suram
negative,titian
negative,surah
negative,menghukumkan
negative,amburadul
negative,ceceran
negative,mencoret
negative,buang air
negative,pemerasan
negative,mencekuh
negative,langka
negative,riang gembira
negative,ambalan
negative,bentang
negative,mengentak
negative,keributan
negative,terhambat
negative,
negative,menodai
negative,berguyub
negative,globe
negative,cerai-berai
negative,randek
negative,
negative,lerak
negative,banal
negative,bogem
negative,kritik
negative,penyekutuan (allah)
negative,menir
negative,menerjunkan
negative,kehampaan
negative,menyangkak
negative,menggelisahi
negative,ladah
negative,calit
negative,terlanggar
negative,bertumbangan
negative,mengeruh
negative,menginjeksi
negative,bangang
negative,tunjangan
negative,residivi
negative,dera
negative,kriti
negative,bersekutu
negative,bobot
negative,terperuk
negative,lajat
negative,
negative,berlinang
negative,celonok
negative,bertamu
negative,kau
negative,membuncahkan
negative,kewalahan
negative,kernyih
negative,mudik
negative,melankoli
negative,hardikan
negative,kanak-kanak anyir
negative,menimbang
negative,menyatu
negative,meragu
negative,berdasarkan
negative,mencirit
negative,lungs
negative,cerabah
negative,orang halu
negative,bufer
negative,mengabar
negative,sempurna
negative,kerajaan
negative,bimb
negative,bua
negative,berkuat
negative,belit
negative,tertanam
negative,sajen
negative,anak penak
negative,liplap
negative,kocok
negative,cacian
negative,zat pemabuk
negative,gamak
negative,reta
negative,pariwara
negative,gamam
negative,aru
negative,terlewat
negative,tenggang
negative,menyedot
negative,adegan
negative,capak
negative,kufur
negative,capai
negative,kerbau
negative,bercak
negative,lumer
negative,layak
negative,menyirapkan
negative,menyelak
negative,kumbang
negative,vagina
negative,ulasan per
negative,gulung tikar
negative,mengabsorpsi
negative,cabik
negative,kelatahan
negative,berpuak-puak
negative,memberhentikan
negative,mengekol
negative,seladang
negative,ihwal
negative,cendekia
negative,gohong
negative,mengubur
negative,amandel
negative,kepetangan
negative,berpasangan
negative,kelompang
negative,selesai
negative,berteraskan
negative,udi
negative,tila
negative,sakit-sakitan
negative,asal-asalan
negative,hampa
negative,pembendung
negative,melenyapkan
negative,timburu
negative,menampel
negative,tepian mata
negative,menangap
negative,sediaan
negative,paralelogram
negative,labrak
negative,cerita
negative,belanja
negative,unam
negative,cema
negative,idap
negative,perban
negative,lipat
negative,boksen
negative,pijat-pijat
negative,menyabung (nyawa)
negative,pampat
negative,minhaj
negative,defekasi
negative,abdi negara
negative,lalat hijau
negative,membawat
negative,mengirap
negative,mengirat
negative,asah
negative,menolok
negative,beranak cucu
negative,perlina
negative,mil
negative,terban
negative,bunda
negative,pengesahan
negative,anglo
negative,membongkar
negative,krista
negative,hitam
negative,blobor
negative,merampu
negative,jari
negative,menghembalang
negative,destar
negative,mencekak
negative,cemburu
negative,resonansi
negative,gurun
negative,tumpul
negative,guruh
negative,induk semang
negative,bergerombolan berkawanan
negative,kepala udang
negative,pancaran
negative,sendal
negative,bosun
negative,gurub
negative,batuk-batuk
negative,ovipositor
negative,intrinsik
negative,dadah
negative,awi
negative,tumpur
negative,putau
negative,ampai
negative,ifrit
negative,lengkur
negative,menyelentik
negative,embal
negative,melahap
negative,jangkit
negative,mencampurbaurkan
negative,bencana
negative,berparak
negative,tunasusila
negative,ampa
negative,(kpd tuhan)
negative,meralip
negative,kepalan
negative,berharap
negative,mulut gatal
negative,mencucuk
negative,menggalakkan
negative,tangkapan
negative,mengusap
negative,anak-anakan
negative,menghardik
negative,kejernihan
negative,beralih
negative,pendongkrak
negative,menundukkan
negative,cukupan
negative,timpang
negative,nis-
negative,liwa
negative,peng-antara
negative,ceker
negative,memvoni
negative,belinjo
negative,meracik
negative,mendasar
negative,rompoh
negative,sulfur
negative,terpancang
negative,terkencar-kencar
negative,menghantui
negative,bangkit
negative,lela
negative,silap
negative,gemal
negative,habi akal
negative,kidib
negative,menyelidiki
negative,kabar burung
negative,gema
negative,perdebatan
negative,silam
negative,pemberian
negative,pengangkatan
negative,histeri
negative,tegur ajar
negative,berkorban
negative,merindingkan
negative,lali
negative,kemamang
negative,cepat
negative,gari
negative,incang-incut
negative,memikul
negative,menarik
negative,meningkah
negative,ganar
negative,gana
negative,mengesup
negative,bir
negative,influensa
negative,terhindar
negative,durjana
negative,tabrak
negative,biarpun
negative,setek
negative,kantong perut
negative,menconteng
negative,pelesit
negative,lumut
negative,menyimpang
negative,berkawan
negative,dialog
negative,ujung
negative,ikat
negative,meneguhkan
negative,pengiriman
negative,lepasan
negative,khasi
negative,jenaka
negative,mencalit
negative,goncang
negative,bergumul
negative,membencanai
negative,gelisah
negative,redam
negative,kenestapaan
negative,sidik midik
negative,stagnasi
negative,lingkup
negative,blaster
negative,merentak
negative,bertubrukan
negative,penuh sesak
negative,kaka
negative,celomok
negative,terpaut
negative,cace rambut kuda
negative,moncong
negative,sentakan
negative,bergesel
negative,rempak
negative,bangsawan
negative,bergesek
negative,kukur
negative,diskredit
negative,kelam
negative,bujukan
negative,mengamput
negative,jahit
negative,adil
negative,penyalut
negative,terpukul
negative,teralienasi
negative,kukuh
negative,berges
negative,
negative,tali jantung
negative,bertitikan
negative,berlengkesa
negative,durkarsa
negative,sesat
negative,puncak
negative,puatang
negative,tangka
negative,komunikasi
negative,pusang
negative,sempelah
negative,menurunkan
negative,berbakti
negative,menguntungkan
negative,romong
negative,morat-marit
negative,terpacak
negative,jalur
negative,gebu
negative,tekak
negative,murca
negative,lisut
negative,mencemplung
negative,distingsi
negative,gerobak
negative,buletin
negative,
negative,kekecohan
negative,teolog
negative,menjeramah
negative,menjiplak
negative,garwa ampil
negative,mungil
negative,sumpit
negative,sara
negative,penganggur
negative,menggerenyam
negative,epigon
negative,merayau
negative,merentang-rentang
negative,merayap
negative,memipihkan
negative,berbantah
negative,aparat
negative,kucar-kacir
negative,berdaulat
negative,menyaman
negative,krisi
negative,pengap
