sentimen,Tweet
Neutral,sayangnya udh keluar dan sebelum aku tanya pisann udh keluar 
Neutral,walaikumsalam sebab kami cuba untuk menggunakan teknik ingatan yang baik walau camane pon kami tetap kalah sebab perempua 
Neutral,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki 
Neutral,yok minions kamu pasti bisa ngatasi mereka 
Positive,aku tahu kau boleh sabar k 
Positive,aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak b 
Negative,owalah wo prabowo kamu ini yg dukung ulama 212 fpi dkk pks dan partainya amien rais lha kok pake analogi godfather o 
Positive,jika aku bisa memutar kembali waktu aku tidak akan memutarnya karena aku tau kamu sdh bahagia dan beginilah seharusnya 
Neutral,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
Negative,j kamu jangan macem macem ya aku bakal ngawasin kamu dari sini 
Positive,berarti aku sepecial 
Neutral,mungkin aku tersilap fikir selama ini 
Positive,aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin 
Positive,aku xpernah tengok mak bahagia sebahagia dye hidup dengan pakcik mak yg dulunya sedih susah dah mule ade sinar bah 
Neutral,tak niat pon do padahal aku duk foward ayat dari 2 group je
Negative,aku ga bilang ini bakal negatif ya tapi aku cuma mau jaga2 aja kapok lah disalahkan terus penilaian negatif keti 
Neutral,di sela sela convo saat ada yang petrus biasanya cewe cewe pada jawab begini mundur kamu 
Neutral,halo teman kotaklicious bersiap ya kasih dukungan yang paling menarik buat peserta favoritmu amp kamu punya kesempatan m 
Negative,tak okay langsung sampai nak video call apa bagai gatal apaa kalau aku mmg tak okay aku yg ada kawan lel 
Negative,gf u ni mmg babi babi babi babi bf gf dah lah tak hensem babi pulak tu pergi mampos jela ingat aku hadap ke kau 
Neutral,me jadi kamu bayar homeschooling cuma 3 bulan aja her ya tak lahh aku banyarnya ya selama tiga ta 
Neutral,lahir bayi laki2 utk abdurrahman bin abi bakar aku berlindung kpd allah tetapi sprt yg dikatakan oleh rasulullah 
Neutral,korang u know perempuan zaman sekarang tak suka kan bila laki2 try hard sangat macam ni kerja nak tunjuk badan je nak 
Negative,haa ini ya mana aku tau yg jual bra mas mas gara dia sekarang kalo chat seller shopee aku ga pernah lagi mangg 
Negative,percuma baik kalo gak mau sama aku 
Positive,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu 
Negative,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
Neutral,waaah berarti fotomu dipake orang lain dia follow aku soalnya nah terus tadi akun kamu di raden 
Neutral,aku habis husnuzonnn
Negative,aku berharap aku gak megang kelas bawah lagi 
Neutral,sis apa pulak aku laki sakai 
Positive,kok aku minat yg 20 ya pen nonton magic kaito berapaan 
Neutral,pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s 
Negative,masalahnya kau bangga kot kena cat called ngan mat salleh ingat ktorg lupa 
Negative,aku join sekali tambah syiling biar mampos jahanam dua ekor tu
Neutral,memetwit mesin penenun hujan aku ngelih 
Neutral,kejadian ragut samun dekat office aku pagi tadi around 8 35 am peragut naik 125zr warna biru try kejar tapi peragut bawa 
Neutral,2hare retweet repost informasi tentang kuis ini pada akun sosial media kalian dan tag mention 10 orang teman kamu 
Negative,aku ngiwo koe nengen aku lungo ojo kangen 
Neutral,wkwkkw aku akan berpaling dari pantene bun
Neutral,alasan kenapa tidak ada yang perduli sama aku itu semua karena di dunia ini hanya tinggal aku dan sinka sajaemu 
Positive,tiap salam buat suami aku exo di korea paaak 
Positive,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b 
Neutral,aku tak peduli jika kamu memanggilku musuh aku akan membawa mu ke submisi yamato hotsuin quotes
Positive,temen doakan aku ya biar bisa dilancarkan buat ngerjain skripsi terutama bulan ini 
Neutral,ini foto terbaru aku 
Negative,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
Neutral,biasa aku bayar advance 
Neutral,oalah pantesan aku ga pake wifi ngandelin kuota aja jadi kalo lagi vc kadang suka putus2 krn keganggu sinyal heuheu
Negative,ketika aku cemburu dan marah pada mu jangan bosan untuk menjelaskan kebenarannyaabar dengan sikapku yang kadang melelahka 
Positive,kalau kamu mau dihormati harus mau menghormati
Negative,aku salah ckp ke 
Neutral,grammy museum behind thecene with bts album pertama yang kamu beli taensduga album pertama eminem jin bts 
Neutral,tak dia bagi aku nasi dia tapi tu la dia laki pastu dia nk solat jumaat lagi dia pon x makan 
Positive,ambik aku pls hahahahaha
Negative,aku penat korang nampak aku main tapi dalaman aku perasaan aku jangan nak sesuka hati judge org 
Positive,aku di bilang akun bisyar receh katanya iya gpp kok klo yg berasa highclass seh beda ya di senyumin aja 
Neutral,mau liat siapa sih yang suka stalk twitter kamu liat temen temen kamu yg kepo cek disini 
Neutral,mutualan yuk aku ikonic jg btw rt aja ya fllbck tpi hehe ab 
Neutral,oot btw kenapa aku tau temenku gajinya sampe puluhan juta gimana nggak kalo tiap isipt tahunan langs 
Negative,tu lah aku letih la jgok nk delete bendo tulo ni dio jd automatic post sediri
Neutral,korang tahu tak ada apps namaocar untuk sewa keretaekarang tengah ada banyak promotion sbb baru lagi aku baru tempah k 
Positive,ya tuhanku jadikanlah negeri ini mekah negeri yang aman dan jauhkanlah aku beserta anak cucuku daripada menyem 
Neutral,teh ais rm2 50 nasi campur rm8 50emalam nasi campur lauk yg sama harga rm7 hari ni jadi rm8 50yukur aku jimat rm1 5 
Neutral,3 kirim jawaban di kolom komentar dengan format quizidaman tebakkeunggulanblenderturbo dilengkapi dengan jawaban kamu 4 
Neutral,mmg ptg ni aku bantai tidor
Positive,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s 
Positive,aku syg kamu martinricaardo dan kamu donimodali1olehyakub
Negative,nasib aku orang johor and stay perak study perlis that's why i'm not single 
Negative,gemas banget ya allah wkwkwk ini orderan dari tgl 10 belum dikirim ownernya sempet tlp sih barang kosong jadi ra 
Neutral,first giveaway nature republic aloe vera untuk 1 orang pemenang pulsa 50k untuk 1 orang pemenang caranya amp like twee 
Positive,uhan dalam tidurku malam ini aku mohon engkau siapkan rezeki surprise yang bagus untukku esok hari aamiin
Negative,bahagiaku kamu bahagiamu aku kenapa malah selalu ada celah untuk dia 
Neutral,kuat sangat hantu kat rumah aku ni 
Negative,ni mesti jenis melayan ni dah layan lelaki ni lepas tu layan lelaki lain pulak lepas tu play victim kata tak in r 
Neutral,crazyrichsurabayan girl to girl hahhh kon potong rambut mek 500 cek murahee nang ndi ikuu aku potong r 
Positive,adek tingkatmu kocak ae rek ngekek aku 
Neutral,berapa kali kamu dapeturprise dari orang yg palingpecial 
Positive,aku jokowilagi 
Neutral,bukak paper math tdi rase nk tidur je tktau laa saka ape melekat kat aku tdi
Negative,ka kalo suka bilang jangan di empet empet kalo ngelarang ngelarang jdi aku tau alesannya
Neutral,aku rasa semalam aku tidur paling lena
Neutral,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
Negative,memang aku ni salah je di mata orang takde satu kebaikan pun yang aku buat yang orang akan hargai terima kasih untuk selama ini 
Neutral,futzal dulu baru kamu 
Neutral,ada sesiapa kenal ke dia niebab kalau ada yang kenal aku nak jumpa dia bawak dia ronda ronda tengok kawasan puncak al 
Neutral,padahal di acara ini kemarin itu semua baca pakr text yg maju ke podium aku liat di 
Negative,jadi apa kamu percaya kata orang orang itu tanyaku mengapa harus aku percayaemua orang bebas berpendapat 
Neutral,baru minggu lepas aku tengok cerita biar betul acappan berlakon jadi orang estetalam takziah buat keluarga acappanel 
Negative,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau tak t 
Neutral,peluk unni 
Negative,bagaimana kamu bisa meyakinkan kami bahwa kita sama2 mencintai nkri mencintai presiden nkri yg sah saja kamu tidak mampu 
Neutral,nanti dah break roger tau 
Neutral,a minggu ni kau balik ke me balik a untung ahhh rumah dekatt balik ah kauu a minggu ni balik ke me tak a eh 
Positive,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
Neutral,rt aku lukis gambar korang 
Positive,aku nk bantu dia slagi aku mampu 
Positive,kamu belum tentu lebih baik darinya dia belum tentu lebih baik darimu di balik fakta siapa lebih kaya secara materi le 
Neutral,kejap tunggakan kos guaman sejak zaman tun m kejap sebab nak beli hartanah kamu ingat rakyat bodoh ke 
Negative,pejantan alfa amp induknya dibunuh leher bayinya diikat karena akan dijadikan hewan peliharaan jangan beli amp pelihara anak 
Neutral,krn kebutuhan istri ga cuma sandang pangan papan doang kalo kamu cinta sm istrimu ya kamu hrs memenuhi kebutuhan sekund 
Positive,siang boss qu jgn lupa makan siang dan selalu pentingin kesehatan kamu yaemangat untuk perfom nya nanti ya
Negative,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
Negative,sampai sekarang do aku tertanya tanya apa faedahnya kita belajar tiup recorder masa sekolah rendah dulu 
Neutral,hi saya pendiam orgnya tak bising komfem kamu bosan haha
Positive,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha 
Neutral,oke nder opini diterima karena kamu lebih ngehargai dan minat streaming kalau minta tolong daripa 
Neutral,bila cg intai kertas exam masa kau buat 
Negative,iya kak maaf aku salah 
Neutral,kenapa ramai cakap tumblr tempat porn aku pernah bukak apps tu takda pun jumpa benda lucah jumpa gambar cantik quotes 
Negative,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
Neutral,kamu punya berapa banyak topiatu 
Positive,boleh tak aku nak cakap yang aku dah minat drama korea hahahha sial lah hahahaha
Negative,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Negative,rasanya kebas perasaan marah sedih kecewa ga bisa dirasain lagi entah kemampuan mengolah rasa semakin baik atau 
Neutral,kalau itu misi kamu letaklah jawatan sebagai menteri dan mp this is exactly the problem you're supposed to serve all mala 
Negative,space memori lelaki banyak kosong sebab tak perlu nak ingat benda bodo pakai apa 6 tahun lepas salah apa 3 tahun lepas mak 
Positive,sesungguhnya aku hanya tinggal bersabar dan mematuhi nasihat baik kebaikan yang kulakukan adalah untukku
Positive,gag aku mah baik
Positive,bwahahah aku sih pasti beli dua cuma ya mengingat harus beli albumnya beli phy juga qu bisa apa qaqa
Positive,luvluv teman aku yg kordes
Neutral,rlt lahkrg udh ada ginian ya allah ini ygelalu akuebut dalam doa dari dulu ketika 2 temanku asik nonton oppa tapi a 
Positive,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
Neutral,pernah jadi guru tamu did elite diby barat nunjukin foto jl uripumoharjo me ada yang 
Negative,aku tak faham betul lelaki tak suka perempuan pakai makeup 
Neutral,kalau rindu aku nak bagitahu ni whatsapp aku masih berfungsi dengan baik tau aku jarang bagi bluetick kat orang melai 
Neutral,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
Negative,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
Negative,perempuan sampah perempuan tu eh yg sampai aku tak 
Neutral,ini udah aku bajuin cocok gaa 
Negative,bodo betul aku terhibur bodo ada member ceni 
Neutral,wohh mlayu wakakkakakkaka untung aku raseneng dangdut 
Neutral,aku anak imut '3' kamu 
Neutral,astaga hai aku stiky 96l masih bayi juga 
Positive,acara keren enterpreneurchool 2018 yg diadain sama ini wajib kamu datengin deh intelektual muda apalagi 
Neutral,dah naik sem 3 ni baru lah sedar pros belajar property management ni baru lah nampak mana hala tuju aku 
Neutral,baca replies je terus jumpa tuan punya badan urm 
Neutral,diam emasopo ngerti aku meneng terus dadi sugeh 
Positive,andai pun kita menyerah dan berkata sudah kau dan aku adalah kita yang terindah 
Negative,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
Neutral,kenal aku nga gt lt 
Negative,bila diam je terus kena label kita ni sombongebenarnya aku tak sombong pun just malu and at the same time aku jaga adab juga 
Negative,dulu aku selalu dengar orang kata menangis tanpa keluar suara itu lah sakit yg paling mendalam sebenarnya now i feel that 
Negative,jadi pengen ngmg sepenggal kalimat yg sering jun ucapin di ff itu ayo bertengkar aku gasuka liat kalian rukun 
Positive,jangan bersedih brader 
Neutral,biar suatu saat pas anaknya ngadu ke bapaknya bapak kenapa aku dulu dikasih nama budi sih kata temen tem 
Neutral,pasai aku 24jam dengan buku skema terox
Negative,sebenarnya takyah la ciri yang bagus pun biar la dia gelap ke kerja cukup makan ke bila dah sayang dia la paling 
Positive,pintar itu harus beradab klo hanya pintar aja iblis juga pintar apakah anda juga iblis aku lebih 
Negative,takkan aku nak curi feedback orang semata2 nak attract cust tu bukan cara aku bisnes ada jatuh bangun ni mental kena kuat
Neutral,chta dulu bar aku save ntar baru ada picntaoalnya aku privasi 
Neutral,aku butuh yutup versi
Neutral,aku baru tahu tentang ini dekat malaysia pun sebenarnya dah lama ada tapi kita tak mahu ambil tahu akhirnya merugika 
Neutral,aku xtrok mcmnii aku baik lg
Neutral,lately ni selalu terfikir kalau tetiba aku mati macamana dengan fb ig twitter aku macamana pulak dengan password 
Negative,aku lagi berhalangan 
Negative,aku semalam hundred percent takde moodampai kan shuben peluk aku then sayang kenapa ni marah marah abang kan a 
Neutral,aku dh buat donat semalam doh dia ada lg sikit belum goreng nk pakai yg tu je la buat beger 
Negative,apa guna aku amik lesen kalau tak bagi aku driveupportla anak ni sikittttt hem 
Neutral,kamu juga 
Neutral,mimpi pg tadi real siot rase berdebar tu sampai bangun pon terasa aku drive kete pastu langgar dgn motor 
Positive,jangan percaya dengan apa yang sedang kamu baca termasuk tweet ini ingin ngakak sendiri saat nulis ini 
Neutral,kalau aku jumpa dua ekor ni sumpah aku cucuh bara surya atas pale kote dorang 
Negative,tydack percaya aku 
Negative,aku tak boleh kalau orang tengok aku buat kerja automatik jadi bodoh
Negative,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
Neutral,apakah ka stiky adalah aku 
Neutral,ngaku aja kamu hush pergi
Positive,awalnya mereka mentertawai apa yg kamu ciptakan lalu mereka mengikuti apa yg kamu ciptakan selanjutnya mereka bangga dg 
Positive,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha 
Positive,yang tau aku ya cuma aku sendiri sama tuhan jadi jangan pernah ngejudge seenaknya 
Neutral,coba latihan ngomong sama diri sendiri dulu biar omongan kita lebih terkontrol misalnya kamu mau bilang kamu bodoh k 
Negative,aku ingatkan gagal tadbir negara dengan elok je dia salahkan bn nak bertanding kepentingan parti sendiri pon salahkan bn 
Neutral,rt aku lukis gambar korang 
Neutral,btw itu klo loreal basenya pake primer baby skin oke ga sih atau gausah pake primer lagi aku liat d utub pada gpa 
Neutral,inisial orang yang lagi kamu kangenin 
Positive,aku yang baik 
Positive,saya suka video aku tanya pak jokowi pakai bahasa jawa 
Positive,al quran is the answer for everything that happens in this world termasuk alam semesta ini gimanaetiap permasala 
Negative,nuduh selingkuh kok habis putus kamu kok kayak aziz gagap lucumu garing
Positive,aku teringat ke hehe
Negative,sorry bro saya lah perempuan tu tapi saya kelam kelibut bukan sebab takut awak tapi sebab baru teringat yang plug ir 
Negative,aku oleng nder
Neutral,es ada yg mau jd abang aku 
Positive,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
Neutral,mu hai tolong saranin aku concealer buat nutupin dark circle dong yang harganya pas buat kantong mahasiswa misqueen terima kasih 
Neutral,saat ada karpet syaf datang kubantu gelar karpetnya 4 syaf 2 di dalam tenda 2 lagi di belakang tenda panas2an b 
Negative,sayang maaf aku egois aku pengen balikan yuk kita putus 
Positive,akan ada masa dimana kamu yg dulunya selalu ngasih kabar ke orang tua dengan ucapan sprti ini ma pak uang anakmu habis 
Negative,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Neutral,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
Neutral,i see blood in my hand aku kira halusinasi ternyata mimisan tjoy 
Negative,tapi dlm hati ngedumel dan kesel liat calon2 tentara ini yg gak ngerti budaya antri pengen juga kubilang mas nya 
Neutral,hi followback ya aku yg di group 
Neutral,mna ada jan ngada2 kamu yg ada mah ama kokoh jason 
Negative,kenapa nasib aku selalu malang 
Neutral,kan sng mcm ni takdelah ego tinggi melangit smpai mampos tak nak baik
Positive,suami pun dah macamherlock nak kena berfikir bagai utk dapat jawapan power haha
Neutral,brp yeoja ada yang mau liatin aku coli 
Neutral,interview copywriter apa kelebihan kamuaya kreatif hmmmaya pandai merangkai kata kata hmmmaya ngga pernah 
Neutral,aku di rumah aku di kos pacar 
Negative,argh semua sembang penat dah ajak semua busy koyak aku
Neutral,untung la aku lena pun lambat
Negative,kekadang rasa nak sakit je terlantar dekat hospitalebab aku nak tengok siapa yang peduli datang tengok aku selain family 
Neutral,wb kalo aku open sharing photocard kihno 2pcs member atau postcard dvd member ada yg minat ga 
Positive,tuhan bijakkanlah aku dalam mengkhawatirkan masa depanku agar aku tak melumpuhkan masa kini ku
Neutral,idm haloo aku cari anak jakut yg mau diajak ke kondangan temen besok oktober aku cewek 
Negative,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
Neutral,pltl ada yang bisa bantuin aku ngirim menfess 
Neutral,17's gila ga sih kalo hari gini aku nyari yg jual tiket idealcutinjakarta underprice wtb deh yg green aja reply coba
Neutral,pas baru lahir sama ayah aku
Neutral,ini untuk exfo ya aku pake tiap produk kalau lagi waktunya ada masalah diwajah aja wkwk tapi itu juga pi 
Neutral,askmf aku maba dan ada kating di kampus yang asli jepang dia ikut himpunan tapi seringnya sendirian mungkin ka 
Neutral,hahaha aku pun fikir benda sama 
Neutral,askmf maaf aku bukan sendernya tapi banyak yang jawab madu itu madunya madu apa maju tj boleh ga hehe 
Positive,aku tak power mana pun masak memasak nie tapi aku harap bila dah kawin nanti setiap hari aku dapat masakkan suami aku d 
Negative,mu maaf kalau disgusting aku lagi bruntusan banget wajah banyak bopeng dan banyak noda hitam bagusnya pakai a 
Positive,aku tak akan menarik kembali kata kataku karena itulah jalan ninjaku 
Neutral,ok aku jawab yg mana nk jaga arnab tu very simple gais 1 sangkar jangan kerap sangat bg dia main kat luar sebabny 
Positive,jika kamu ingin melupakan rasa marah terhadap seseorang ingatlah kebaikannya 
Neutral,weh ye do phone aku punya tak relevant sampai restart sendiri weh haha lepas ni main phone bawah meja jelah
Negative,marahin aku tu koooo kompor
Neutral,selalunya org ckp muka aku ni cm budak2 tpi ni first time aku dgr org ckp aku matang wehh siap nk pnggil aku akak 
Neutral,this is the valid reason why im fat weh kesian nanti org tua kecik hati sbb kite tak habiskan makanan dia selagi b 
Positive,pertama kalinya ada yg ngadain ga sekaligus 2x baik bgt kakanya terhura aku 
Negative,j kamu jangan macem macem ya aku bakal ngawasin kamu dari sini 
Neutral,mu ada yg pernah belanja di callamary ga itu balesannya sekitar brp hari ya aku udh semingguan ga dibls bls ap 
Positive,aku lebih mencintai orang yang menegurku daripada orang yang memujiku kerana orang yang menegurku sebenarnya menyelama 
Neutral,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
Negative,aku tak faham betul lelaki tak suka perempuan pakai makeup 
Neutral,aku kaum miskin minta sedekah dong 
Neutral,kembalikan energi dengan 5 ritual yang bisa kamu lakukanendiri di rumah 
Positive,kalo dia anggap kamu sahabat mau semarah apapun dia gak akan bisa benci lama lama pasti balik lagi 
Neutral,pori2 kamu lagi membesar 
Neutral,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
Neutral,wuuu abe abe nkgi shulat jumaat kertuuu berbaju melayuuuu auwmm k senarnya aku serabut penuh moto nih huhh naik 
Neutral,grammy museum behind thecene with bts album pertama yang kamu beli taensduga album pertama eminem jin bts 
Positive,bukan nak kata aku ni berani tapi kita tak boleh takut sangat dengan benda ni kita kena takut dengan allah je tapi ke 
Positive,aku merasakan sebuah pencerahan hari ini 
Neutral,cuma apa yg aku nak tegakkan kat sini ialah please jangan bandingkan telco baru dgn telco lain yang lamabb diora 
Positive,aku terhibur dendangan si ikan kaloi td talented huwaaaa
Positive,haha mau ketawa ngakak di depan muka kamu boleh gasih 
Negative,bodo amat ah yang lagi limit sama sensi gue undang buat dateng ditungguin pokoknya dateng belakangan ju 
Neutral,aku cari anai anai tu 
Negative,if you guys dapat call dari no ni then dia kata salah masuk topup jangan percaya this one scammer yg try hard cari s 
Positive,aku mulai mendewasakan cinta membiarkan kata katamu amarahmu egoismu keras kepalamu lepas dari tubuhmuedangkan aku 
Negative,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Negative,kalian anak smk suka kesel gak sih kalo diejek otaknya cetek sama anak sma kan kadang adatuh anak sma yg sok die 
Neutral,so tadi aku buat roadblock tahan satu motor budak lelaki tu bawa makwe then aku suruh orang lain check lesen semua lah aku 
Neutral,dan setelah salam mendadak berubah lagi menjadi puanass poll seperti semula kupikir ya mungkin aku sedang diuji 
Negative,sekelas jack ma aja males mati di kantor lah aku 
Negative,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok 
Negative,duh serem
Neutral,tadi ada budak laki ni tanya aku course apa metatistik him apebenda tu me bhg matematik him ohh oklah tu 
Neutral,bayangkan kamu lagi telfonan sama hanbin ternyata udah tengah malem dan kamu ngantuk terus hanbin nyanyiin lagu sampe kam 
Negative,see sapa yang paling bullshit 
Negative,aku ambyar 
Neutral,baru sakit dirumah tbtb ditelp temen yg disekolah dengan nada yg sangat ceria kal aku kerumahmu ya hah ngapain 
Neutral,pb di aku 180k masih bisa diskusi ayoo dm
Negative,cuma nk cakap la aku tak pernah rasa sebodoh ini time math yew
Negative,dan aku pantang bila tengok mak pak yang jadi bodo n buat bodo bila anak misbehave kat public 
Negative,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem 
Negative,aku kalo ibuku ngomong jangan males begitu nanti kamu punya anak males juga dalem hat 
Positive,malu ah keliatan menel aku wkwkwkwkwk
Neutral,meh la buat kenduri doa selamat kat bilik aku pulak please 
Neutral,np laneige sleeping mask new 22k aku blm pernah pakai samsek dijual bcs ternyata umurku belum pantas pakai prod 
Positive,terserah sampeyan mau bilang apa tapi aku manut habib luthfi dan khryarif rahmat bahwa bendera yg dimaksud dngn liwa dan 
Positive,iya kamu dari bali yaekalian mutualan yuk aku juga dari bali 
Positive,iya iya aku jg brcanda yang td wkwk
Negative,ih engga masih jabar maksud aku 
Negative,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
Negative,bodola emma tak jadi aku nak murung harini 
Negative,yang kangen sama aku mana nih retweet nya say 
Neutral,idm ada yg mau join ga barang official ga my klo yg rep 50 aku drop direp dan janji pda ikut ya 
Positive,ada aku 
Negative,aku dilahirkan di bumi ni memang untuk jaga hati semua pihakampai hati aku barai pun tak ada orang kesah hmm
Neutral,sempena hari jumaat ni aku nak mintak sikit sumbangan dari korang untuk mereka di kemboja sana wang sumbangan kek 
Neutral,ermmm tengah chill ah ni saja nak offer kau lemak aku
Negative,shit susah sial muka cina semua dtg kat aku and just shoot me up with mandarin dayum boi 
Negative,satu je aku kalau dah fed up mmg aku fed up ah tu tak kisah la dgn sapa 2 pun 
Negative,hah lagi kamu tuh cari tempat yang enak jgn di kebon belakang rumah pak rw ya jelas digrebek 
Neutral,aku nak sangat one day aku bole cakap dekat ibu ibu cakap je ibu nak apa saya beli ibu cakap je ibu nak pergi mana say 
Neutral,ank pertama masuk lb pkul 7malam bersalin pkl 1 50 petang ank pertama aku hampir tewas lastly aku mampu melawan 
Positive,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
Neutral,baikkkk sudah cukup cukup sudah dengan coffee painting rt dan aku lukis muka korang guna charcoal pencil tak semua aku 
Positive,aku suka lovitta amp aliqa 
Positive,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man 
Negative,minta ais batu je la anjir 
Negative,ini engga ada yang bisa aku stalk apa ya 
Positive,senangnya aku klo km ajak ke sana
Negative,takada masa aku susah
Neutral,aku menyeru pada para pengkaji paranormal untuk mengkaji tentang watson guardian pasal masuk nak beli sabun je balik balik 
Positive,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
Positive,angeline miss katae mama aku cuma dapet dikit sincia'an kemaren me dapet berapa her 12 juta katae kembali menguc 
Negative,kayanya aku gak pernah untung give away hmm
Neutral,np aku jual barang baran yg di foto murah bgt kaos kaki 8rb pcs dan casenya cuma 55k ada shopee yg minat atau m 
Negative,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena 
Neutral,diorean aku update 
Positive,mu gemes banget adminnya aku ga jadi marah 
Negative,nggak butuh alesan aku bisa bicara apa aja sama kamu nyaman
Negative,kuat sangat hantu kat rumah aku ni 
Negative,aku bukan orang kelantan but sometimes muak jugak aku dengan tweet macam ni be more specific la mention orang tu better ca 
Positive,karna sekarang aku lagi ulang tahun dan besok hari enip nya ikon aku bakal adain ga pulsa 10k untuk 2 orang cukup aj 
Negative,saat kamu jauh aku jatuh pelaminanhujan 
Neutral,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
Neutral,mfs folowan rt ja ntar aku folow follback tpi
Negative,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
Neutral,ni nak femes je sebenarnya 
Positive,kalo aku yg menang jajanin ya wkwk 
Neutral,dear temen tolong lah ya setiap gue yang fotoin kalian hasilnya pada cakep elok cantik dan sedap dipandangedangkan gil 
Positive,aku pernah gak buat gini tapi apesal tak baik baik jugak hahahahawau
Positive,seseorang yang berarti tak akan dengan mudah kamu miliki jika kamu sungguh mencintai jangan pernah berhenti berusaha untuk hati 
Neutral,thread aku manaaa
Neutral,selain aku siapa jugak macam niet brightness fon paling lowest tapi still rasa masih terang kita geng 
Neutral,haih stop it la gais idk knp korang ni minat sangat sebar khabar angin pasal aku 
Positive,kalau itu mah aku juga ngerti atuh 
Neutral,loh kan aku emang taken sama kamu 
Neutral,aku tu disebelah jadi dawon udah lama sih tapi semi 
Neutral,tls followan ama aku yukk rep rt kita temenan
Negative,nampak reaction muka aku lain macam please jangan tegur takut kemurungan seharian
Neutral,ada yang lebih besar dari punya suami aku 
Negative,bukan aku ni feminism ke ape cume pelik bila lelaki tegur perempuan tapi still dorng punye masih tak terjaga ki 
Neutral,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
Negative,bodo amat aku mah kak tik wkwkwk
Positive,kehidupan adalah 10 yang terjadi pada dirimu dan 90 sisanya adalah bagaimana kamu menghadapinya
