Sentiment,original_text
Negative,"USER Kemarin ahok nyebut bangsat,emang ada orangnya yg kelakuannya ngisep darah rakyat.\n\nSekarang yg disebut goblog,,ditanya siapa orangnya malah cuma nuduh2 aja'"
Negative,USER USER Huehue si mahfud md udah ngikutin Geng si wowok dan oposisi tolol'
Negative,USER Anjir ngakak :('
Negative,USER OHH SI KUNYUK ITU'
Negative,USER Parfum tai ayam kan pasti?'
Negative,USER USER USER USER USER USER Anjir mainan jaaman sd \xf0\x9f\x91\x8c'
Negative,"USER Ia tidak memperdulikan ocehan laki-laki didepannya itu, kenapa hari ini ia bertemu laki laki ini? Padahal UI sangat luas dan dari sekian banyak mahasiswa, mengapa harus Alan?\n\n""Bodo amat gue gak denger, gue pake headset,"" ucapnya tidak perduli, lalu mengikuti langkah kaki +'"
Negative,USER Percuma gak perlu di ingetin bang USER klo orang di hatinya sudah tertanam sifat dan ajaran iblis orang itu pastin lntolerans. Dan dia Akan mngadu domba. Tabur kebncian. Sara dll'
Negative,USER bangke lu yen cabul'
Negative,USER USER USER Udah Kodrat: PECUN-dang emg paling pinter cari alasan\xf0\x9f\x98\x82'
Negative,USER USER Goblok sia kunyuk'
Negative,USER USER Weh kunyuk \xf0\x9f\x98\x82'
Negative,USER UWOY JADI BENCONG JUGA HAHAHAHA \xf0\x9f\x98\xad'
Negative,USER Anjir covernya sama wkwk'
Negative,"USER USER USER USER USER USER USER USER USER USER USER USER Ah bacot, dasar sok alim lu. Manusia itu gak ada yg sempurna. Jangan sok alim jadi orang.'"
Negative,USER USER Aku gr baru tau kemarin si banci eta trh wkwkwk'
Negative,USER USER BACOT YA KALIAN'
Negative,"USER Tiap berkicau makin keliatan tolol dan gobloknya, lbh tolol lg yg milih dia'"
Negative,USER Bolot wkwkwk tipo'
Negative,USER KALO ITU GW JUGA TAU + GAK NANYA BOLOT'
Negative,"USER USER USER ketika USER tidak berhasil menyodorkan prestasi tokohnya, tdk ada prestasi partainya, maka yg muncul adalah aksi menjelek-jelekkan lawan. Ksihan si manis tp bego USER diperalat syahwat kekuasaan!!'"
Negative,"USER EH PEREK... GUE BALIK LU HIATUS, TAIK'"
Negative,USER Omongan mu rusak..Dasar KontoL'
Negative,USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram!! Najis!! Dasar banci'
Negative,USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram!! Najis!! Dasar banci'
Negative,USER USER Yang perek kan ibu lo.. gimana sih.. pasti sdh dool ya'
Negative,USER USER Arseto itu monyet ngak tahu adab dan moral'
Negative,USER USER USER Tolol sekali anda ini? Ngaji dimana kau ini kl agama islam sprti itu? Ketahuan ini orang ngajinya sm orang ngk jelas ini?'
Negative,USER bajingan anda USER'
Positive,USER ...aku udik bangat si emang bisa gitu y di ta wan :('
Negative,"USER \xe2\x80\x9cNyetir apaan. Orang mobil di depan aja ga bergerak, idiot.\xe2\x80\x9d\n\nWindy semakin kesal karna Yoga yang sangat tidak peka akan kondisi perutnya saat ini. Ia lalu diam dan menatap ke depan.'"
Negative,"USER USER Lebih baik d jajah china dr pada di jajah arab... Kebanyakn aturan.... Kl g jual aja negaranya sm AS biar yg banyak bacot lansung di tebas... Jangan sok suci, jangan munafik jd orang koar2 dank bisanya...'"
Negative,"USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Lah emang sekarang presiden nya prabowo ,tolol boleh goblok kurangi ,'"
Negative,"USER udah jelek, budek lagii :( .nga'"
Negative,USER Udah ga pusing lagi? Ayo ntar fc monyet'
Negative,"USER USER Siapa bilang dia ustadz,pembual,sinting dia'"
Negative,USER USER Dasar bencong.....!!!'
Negative,"USER USER Media pura2 bego dan ajak2 bego orang lain, namanya pembodohan. Parah!!!'"
Negative,USER Lawan!!! Bangke smua dipiara penguasa. #2019GantiPresiden'
Negative,"USER Mengadu ke Allah agar para pemimpin yang bejat,bangsat,bajingan segera bertaubat kepada Allah dan kembali ke jalan Allah.'"
Negative,"USER tangkap dan bunuh saja itu bajingan...prcma klo ngarep ama ""penegak hukum""'"
Negative,USER Arseto..ini kunyuk yg sedang cari panggung...'
Negative,USER typingnya ganteng ga banci. jago dikit dong'
Negative,"USER USER USER USER USER Wkwkwk.. Si mantan ustad, di ILC keliat goblok masih ga sadar didumay..,sakit perut gw liat nya'"
Negative,USER USER USER USER USER USER USER USER USER USER USER USER Gw tuduh lo anak babi. Yuk buktikan lo anak orang dengan tes dna ya. Cepat. G pake lama'
Negative,USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL
Negative,USER USER USER Kyanya ijin pemerinth setempat yg goblog kasih ijin'
Negative,USER Gak aneh. Katakita adminnya si Ade Armando. Jadi gak heran bikin meme tolol macam ini.'
Negative,USER kalau waria sih ada harganya daripada yang bencong asal pegang pas tidur~~\n\nNGAHAHAHAHA'
Negative,USER pas di cari ga nemu tpi bunyi mulu anjir'
Negative,USER Astagaaa.. Sewa pecun skalian ga pak?'
Negative,USER Memek nya gk klihatan'
Negative,USER USER DPR DPRD jancok asu aanjing babi kontol jembut bajingan bangsat tempek gendeng taeeekkk banci'
Negative,USER Kecebong bajingan'
Negative,USER Apa kbr memek tembem..'
Negative,"USER AHAHAHAHAHA CAPEK.\n\nGua kira video 13 detik dia beneran ngomong, kampret.'"
Negative,USER Mcm babi sial haaaa aku marah nii'
Negative,USER Kalo mau buat hoax yg pinter dikit dong...udah dungu jgn bego...kasian ntar pengikut nya ikutan dungu dan tolol\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
Negative,USER USER Bego ah budek \xf0\x9f\x98\x91'
Negative,USER ya allah sejak kapan lu jadi babi dek??!!!! \n\ngpp ini maljum..giliran gue jaga lilin'
Negative,"USER Sekolah yg bener jangan minta free class mulu nik, tar bego kayak gw\xf0\x9f\x98\x82'"
Negative,USER Bajingan la bukan banjingan'
Negative,USER Ini lo mau sarkas apa emang bego si?'
Negative,"USER Makannya, kalo mau bacot mikir pake OTAK. Lu punya HATI+AKAL PIKIRAN gak? Gimana Kalo DUIT Keluarga lu, hasil nabung bertahun2 ternyata keluarga lu di tipu ABU TOURS. GOBLOK boleh, TOLOL pilihan'"
Negative,USER kok gembel beneran cantik juga wkw\n\nyah baru mau dimintain makan'
Negative,USER USER USER Napi ya napi..gak beda ya...jangan tolol sok bela penista agama...statusnya sama dengan napi lain bong..!!hehe'
Negative,USER Eh kunyuk.. Aku nih udh kuliah lohh.\nKmu anak sma ya? \xf0\x9f\x98\x85'
Negative,USER USER USER USER Muke lo mirip kontol monyet'
Negative,USER Yg kunyuk kunyuk ini yg heboh prof ditambah penumpang gelap dan pasukan nasi campur'
Negative,USER Itu lagi ngomong bacot dalem ati'
Negative,USER Aku pengen jilat memek'
Negative,USER sebelum brngkat krja ngentot dulu sama pacar URL
Negative,"USER USER USER USER Mental itu selalu minta mobil rantis, minta dikawal polisi,. \n\nSayang banget tuh bis ga dilempar molotov ye, kayak di jl gatsu.\n\nmental itu bikin nazar nikah sama monyet ? Terus ? \n\nMental itu ngerusak stadion gbk? Aset negara, \n\nTerus ada yg dapet proyekan dari kementrian, lol'"
Negative,USER USER USER Gubernur bego dlm sejarah DKI'
Negative,USER 515UKM4W4T1 itu golongan iblis...Krn hanya iblis yg tdk suka adzan.'
Negative,USER tampang sederhana padahal boneka kunyuk'
Negative,USER Alay bat tai tentara macam apa lo!? Ew banget sih emg tentara ina w malu'
Negative,"USER Apaansi tai baru gt doang belagunya udah selangit. Ga inget ada karma? Ntar bbrp taun lagi kalo idol lu flop, gua ketawa paling keras.'"
Negative,USER Cuma sejam anjir wk'
Negative,"USER Halah tai. Kacang lupa kulitnya ngatain JYP :""'"
Negative,"USER kamu gak salah. Masa mau belajar hal baru atau mau melihat sesuatu dari kacamata lain melalui tvshow ini salah? Nggak, kamu udh baik adanya. Lanjutin aja apa yg kamu lakukan itu positif bgt utk diri kamu. Mereka mah emg udh pada dasarnya tolol dan gamau berkembang jadinya nyinyir'"
Negative,USER Kenal glam gak lw jing? Homme jg kmn tai. Agency lw juga ada masa anjlok ny gaush bacot makany. ngaca dl.'
Negative,USER sedih gw baca komenannya nyalahin army taunya akun bodong. kampret dah.'
Negative,USER woi elah ngakak terus sih anjir hari ini WKKW'
Negative,USER YAAAELAAAAAA manusia babi dasar'
Negative,USER Gila......manusia sudah bejad lahir bathin...sudah maksiat dimuka umum....syariat2 Tuhan pun di rusak..dihina........Duuhhhh Gustiiiiiiiiiiiiiiii.......'
Negative,USER ASW GAK GW KASIH HADIAH PULSA LG KL MENANG YA LW'
Negative,USER Gimana mainnya asw'
Negative,USER Ternyata masih da banyak asw'
Negative,USER USER Gue belom baca sampe akhir akhir mager asw mending vn kwkwkwkwkw'
Negative,USER Mau dibucinin lah asw udh dibucinin kok gak mempan wagelaseh gue harus ngapain lage'
Negative,USER USER Rayap mah makanin kayu pea kunyuk wkwk'
Negative,USER Dasar javlay llu kunyuk ... Istipar weh'
Negative,USER Kasur mana enak kunyuk'
Negative,USER hanjing... MAJU LU SINI BABI'
Negative,USER USER udik emang bego haha'
Positive,"USER USER Kalau Khalifah bagaimana Prof. ? \nKan sudah sunatullah pastinya ? \nTuhan tidak menunjuk malaikat maka dari itu ada yang iri hati dan nggak setuju, kemudian dinamakan Iblis. \nTugas manusia sbg Khalifatullah untuk mengambil Hikmah (kebijaksanaan) dari keduanya. \n\n\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
Negative,USER USER USER USER USER USER USER USER USER USER USER Cuma 1 kata: BAJINGAN !'
Negative,USER Babi tak ajak'
Negative,USER bisa aja gembel nya lu jae \xf0\x9f\x98\x8c'
Negative,USER BODO EH HAHAHHAHAHHHHAHAHAHA BADU ARHHH NGAYAH PANGAN DIRI KETU KU NEMU D CRINGE SIAL'
Negative,USER USER Pake wifi aja masih gembel'
Positive,"USER letak Iman di dalam otak ada di sebelah mana sih, cacing yg di mengandung Protein adalah Olahan dengan Extrac .. bukan dengan makanan yg mengandung cacing langsung dikonsumsi ... jika mau cacing dalam daging babi .. qty nya mantap tuh'"
Negative,USER Apa lagi memek yg ga ada bulunya lebih mantap di jilatnya'
Negative,"USER Maklumin aja mus, mereka itu para anjing pki laknat, si dylan idiot itu lah ketua nya'"
Negative,USER USER USER USER USER USER Dasar muka tai babi loh mau tenar agama di bawa2.. Klw berani jgn share di medsos.. Umat siapa pun klw agama nya di hina2 pasti marah besar..!!! Dgn mudah nya langsung minta maaf.. Ayo FPI buruh dan cari orang ini buat kasih pelajaran...!!! #BelaIslam*'
Negative,USER Aldo tai anjing'
Negative,USER Bogel kunyuk hehe'
Negative,USER USER apaan babi'
Negative,USER Jadi kalau masih mo mt gak kena dare bajingan:3'
Negative,"USER lu bolot, lemot. masa gitu doang ga ngerti'"
Negative,USER Cewe gila. Sinting. Freak'
Negative,USER Tae. Isinya banci semwa yak?'
Negative,USER WISHNYA KE LU SEMUA TAI.'
Negative,USER BODO MAU NGAMBEK'
Negative,USER Ihh yg bener anjirr jahat elu mah bodo bodo'
Negative,USER perek doyan di gagahin :*'
Negative,USER Bangsat banci manatuh\xf0\x9f\x98\x82'
Negative,USER Ah. Kaga weekend ini? Tai emang'
Negative,USER USER Totol ketemu tolol !'
Negative,USER Tebal banget bentuk memek ya tante'
Negative,USER Makanya kalo laper mending jual diri aja jangan jual otak. Goblog kan jadinya.'
Negative,"USER USER USER USER USER USER USER USER Kya bersih suci sendiri aja kamu TOLOL....trs,kmu yg teriak\xc2\xb2 muslim....udh berbuat apa utk sdra muslim mu????klo mkn aja msh NGEMIS,g usah kopar kapirin org....benci boleh GOBLOK JGN!!!USER'"
Negative,USER Anjir serem maennya begituan \xf0\x9f\x98\x82\xf0\x9f\x91\x8c'
Negative,USER Y JGN MAU DOI CUMAN PENCITRAAN AJA APLOT APLOT GITU DIHHH DI PERSONAL NYA SALTY IN JIUN MULU SOMPRET'
Negative,"USER aku brengsek, masa adik ku kecebur aku ketawain?'"
Negative,USER ngakak anjir'
Negative,USER kaya monyet?'
Negative,USER biar makin panas alias babi kaaaaau\n wwkwkwkw\n\njangan becandain mamah gw'
Negative,USER bawa2 gugel ah tai del'
Negative,"USER #Jawabannya adlh; KARENA PASUKAN ONTA 212 DENGAN PEMIMPIN BRENGSEK YG KINI BURON, MEREKA SAMA"" MENIKMATI HASILNYA.\nMEREKA BAHAGIA MENIKMATI UANG HARAM KARENA MEREKA SATU KEYAKINAN..!!!!'"
Negative,USER USER Hahahahaha... \nga ada orderan demo.. \nga ada nasi bungkus.. \nga ada perbaikan gizi.. \nTETAP IDIOT..!'
Negative,USER Kunyuk nih orang ...jng kasih kendor nih segera cyduk.'
Negative,"USER USER USER USER tengok cara balas, Ni ke cara #KitaOK pertahankan #ASSTAG diorang\ncomeonla\n\nMaki hamun bukan MATLAMAT KEMPEN #KitaOK\n\nSebab tu PAKCIK nak HAPUSKAN #BANGSAANJING Ni!!!\n\nIni adalah ANJING &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'"
Negative,USER USER Wkwkwk bangke. Sambil ada yg ngetok2 di jendela'
Negative,"USER Medokan ndi? Ga ngerti aku yoan.\n\nMAKANE, mama ku macak budek nek aku jalok sangu \xf0\x9f\x98\xad'"
Negative,"USER Dia budek, buta, dan otak mati jd mungkin sulit. Jangan berharap banyak.'"
Negative,USER Kok bs gitu sih asu bgt paypal :('
Negative,USER USER perek lu mah'
Negative,USER Kamu bau bangke tikus!!! \xf0\x9f\x98\xa3'
Negative,USER Kamu bau monyet .g'
Negative,USER Jadi inget fesbuk anjir lupa aku'
Negative,USER USER Kunyuk emang die wkwk'
Negative,USER bodo yang penting mak bahagia'
Positive,USER #PECUNIO akan membawa kita lebih jauh ke arah tujuan kita untuk membentuk pasar keuangan masa depan.\n#Pecun_io #ICO'
Negative,USER anjirrrr brengsek bajingan. gila sih lu gua gangerti sih kalo jd lu \n\nternyata ada yg lebih parah dr mantan gua anjir lol\n\nudah skrng fokus exo yg jelas2 membuat kita bahagia^____~'
Negative,"USER Hah cuman buat orang kek lu pecun.. Dang , aduh gk bgt orang kaya lu di bacotin dikit aja udah sesek napas'"
Negative,USER Iya peno sinting'
Negative,USER Ihh itu marahin cordi nunanya oppaa masa mau ambil2 guguk ku : ( kaya bencong aja dia ngambil2 punyaku-! \xf0\x9f\x98\xa2 .nda'
Negative,"USER Guwe anjing penasaran iya iya lah bisa ngomong, maju lu sini garuda kuping budek'"
Negative,"USER Woy,itu semua sudah di proses aparat.ngapain harus ribut.kalo ahok memang perlu di ributin karna tidak di proses..goblog di pupuk'"
Negative,USER yeuh mentalita sunda sib...g club g pendukung kunyuk kabeh...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 URL
Negative,"USER Yah jawabannya goblok mas\n\nJaka Sembung kan bawa sepeda mau sekolah, masa bawa golok,gila nih orang tua nya'"
Negative,USER Foto memek nya dong'
Negative,USER Brp sayang ngentot sma kmu'
Positive,USER gua stress pengen un bukannya makin alim malah makin bejad'
Negative,USER Ente aja ga suksreb bajingan.'
Positive,"USER Pimen yen gawe ning slawi perek hotel grand dian nah ana toko matrial kue gone nyong, digawe bae pimen \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86 2x9 m temboke wkwk'"
Negative,USER USER kunyuk satu nih yg gua punya wkwkwkk'
Negative,USER USER pea kesayangan kecintaan bolot sok pinter pdhl lbh lemot dr gua'
Positive,USER Berasa punya monyet :v .g'
Negative,USER Kek monyet lis :v pulang woy pulang'
Positive,USER Tuyul apa monyet?'
Positive,USER perum cikeas permai ds cikeas udik kec gn putri bogor listriknya padam pak pd banyak rumah tolong dicek. trims'
Negative,USER apaan si anjir receh bgt gua'
Negative,"USER ngapain di ingatkan orang tersebut.. wong yg di ingatkan budek, tuli, pekak dan tolol'"
Negative,"USER USER USER USER Duhhh banci medsos muridnya napi 2 kali di bui ini ya, rumpi Bgtxx kayak junjungannya.. jelas jelas itu elo cong.. jd bencong mbok ya beradab dikit jangan kayak residivis gitu. Mentang2 punya guru mantan residivis 2 kali di bui.. rumpi bgt'"
Negative,USER ya anjir salah tag wkwkwk apaan lu gue jennie zuyle lisa wkwkwk'
Positive,"USER Bingung membedakan mana yang hasil bisikan jin, iblis atau malaikat bahkan hasil pemikiran orang lain yg pernah singgah. \nHanya Tuhan yang paham. \n\n\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
Negative,USER Ava gw anjing dn gw monyet hadeh'
Positive,"USER \xe2\x80\xa2 My Idiot Brother (yaolo itu tuh pak :(\n\xe2\x80\xa2 Ayah Mengapa Aku Berbeda (Filmnya saya lupa gmn tapi bukunya sukses bikin saya menye-menye)\n\xe2\x80\xa2 Surat Kecil Untuk Tuhan (ini mah paling paling sih)\n\xe2\x80\xa2 Habibie &amp; Ainun (malu ini pak saya terharu di depan ortu mun)\n\n\xe2\x80\x94 447, danke pak!'"
Negative,USER eeh bang perek baru keliatan\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
Negative,USER USER Dan penyakit yg blm sembuh sampai skrg oleh gerombolan kampret bongkrek adalah penyakit panik dan balas dendam akibat kekalahan pilpres 2014. URL
Negative,USER USER Penyakit panik yg di alami kaum begundal kampret bongkrek adalah selama pak prabowo blm jadi presiden. Dan kepanikan itu akan trs berlanjut karna sprtinya pak jokowi akan dua periode.'
Negative,USER USER Emang dasar kecoa goblog! Ngambil uang simpanan dibank dan dikelola bank tanpa seizin yg nabung koq dibilang maling'
Negative,USER USER Elo yg goblog.. jdi twet si zonk m omongan si wowo g mengarah kesitu??'
Negative,USER Udah anjir :( udah kerja :( sedih karna inget masa kuliah(?)'
Negative,USER Ga rela kunyuk bahagia pagi ini'
Negative,USER Tiada hari tanpa ngomongin kunyuk\xf0\x9f\x91\x89\xf0\x9f\x91\x88 Udah punya kuota kan? Iya pasti udah punya'
Negative,"USER kamu ga budek ko, cuma tuli\n\nnga'"
Negative,USER Kakak kampungan cuyih'
Positive,"USER USER USER USER itulah yang dimanfaatkan sama akun2 anonim geje kaya Conan, Sinting, dll... bahkan pendukung DPP sampe ga bisa membedakan mana loyalis FH dan AM pada waktu yang berbeda... semakin lama akan semakin rumit kalo ga mencoba memetakan konflik dengan baik'"
Negative,USER Sini queen ak coba memek kamu'
Negative,"USER eh? haha iya dp kamu hyunjin, anjir. gini nih kao males nge zoom. haha'"
Negative,USER USER kaget anjir mentab penuh kirain apa'
Negative,USER GUE HARUS BILANG APA ANJIR. Bagus kok.'
Negative,"USER Jele lo, udik.'"
Negative,"USER USER USER USER Nih terakhir aku tanya lagi: Itu utang era Jokowi semua, bencong? Pasti mingkem lagi... si gembel warnet.... banci kaleng... \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'"
Negative,"USER USER USER Kan alamat kerjaku udah kukasih tadi.. datang ajah, biar kubuktikan kau itu juga LGBT aka BANCI KALENG....'"
Negative,"USER Hahaha.... banci kaleng langsung NYUNGSEP kalau ditanya... pakai akun palsu... kalau ga banci, ya Saracen.. waspadalah.. waspadalah...'"
Negative,USER USER Gue semua cerita angst suka sekalipun yg sad ending ampe mewek beneran gue bacanya gembel banget gasih wkwk'
Negative,USER Tai sih fadlizone'
Negative,USER Tai kaga ngajak'
Positive,USER USER monyet yang di sumber juga masih pada idup tuh\xf0\x9f\x99\x8a'
Negative,USER USER ini si nenek nenek bermulut jembut ngoceh melulu keselek bulu jembut mati loe nek USER'
Negative,USER USER USER USER USER USER Lebih TOLOL lg yg nulis kek gini... \xf0\x9f\x98\xb8\xf0\x9f\x98\xb8\xf0\x9f\x91\x8b\xf0\x9f\x91\x8b\xf0\x9f\x91\x8
Positive,USER Lebuk can bai mai taau.hishh maka can sejak zaman sekolah . Dating butah beraan gk udik'
Positive,USER #DBDSHOW kalo menurut saya film yg berkesan yaitu film si buta dari goa hantu..karena film itu mengindikasikan antara si buta dan si monyet yg begitu setia kawan..betul tidak? Colek tuk USER dan USER'
Negative,"USER Gini nih klw orang keluar dari memek perek ,,ngapa luh gak seneng gw bilang bgtu emak lu perek,,ketemuan yuks'"
Negative,USER Celakalah SukmakuMati tiada aku mengerti Syariah hdpku ssat\nCelakalah SukmakuMati auratku yg terurai mnampakkan buruknya wajahku\nCelakalah SukmakuMati nyanyian genjer2 yg aku suka mdatangkan Iblis disukmaku\nCelakalah SukmakuMati adzan tdk bs mngusir Iblis disukmaku.\nSukmakuMati'
Negative,USER jahudi bangke minta sama jerman sana tempat ibadah'
Negative,USER Si brengsek ahok ini ternyata pengecut.....takut dimasukkin lapas.'
Negative,USER ih pinter gembel nih anak satu ^_^'
Negative,USER USER Wkwk bodo anjer'
Negative,"USER USER Itu cuma bacot doang,gue yakin tdk akan berani melakukan.'"
Negative,"USER Gw merasa bego lu jwb begitu mulu --""'"
Negative,USER USER USER USER USER USER USER USER USER USER USER USER USER kepala apaan anjir'
Negative,USER Wkwk gaboleh dra bos bosan tai'
Negative,USER Gue cuma makan snack doang anjir belom makan nasi wkwkwk'
Negative,USER Dasar gila.'
Negative,USER Kalau banci thailand mah cegan dong oppa'
Negative,"USER ""cowok di dunia ini itu cuma ada 2 macem kalo bukan bajingan ya maho""'"
Negative,"USER Aku malah kebalikannya hm, tapi kalau udah akrab sama temen rl selalu dibilang yang paling banyak bacot akunya'"
Negative,"USER Aku sih kata temen waktu awal liat "" jutek, sinis, judes, dingin "" pas awal doang pas udh deket bgt dia malah bilangin w gila, stres, sarap, ya emang sih kadang wkwkwkw. :v jujur bgt w eastaga. \n\ntpi ada kok yg deketin haha//'"
Negative,USER Alah bullshit tai kotok'
Positive,USER Alhamdulillah gua tinggal di komplek yang warganya bodo amatan dan ga ada ibu ibu yang kumpul buat nge gosip . Komplek rumah gua sepi banget pliss \xf0\x9f\x98\x82'
Negative,USER biarin aja ngapain ngeladenin banci'
Negative,"USER bolot, idiot, berisik, lawak, kocak, moodbooster tp wkwk'"
Positive,USER Cinta monyet?'
Negative,USER Cowonya ga gentle banget banci gitu ngomongin dibelakang kalau emang bener yg dikatain temen2 :)'
Negative,USER iya udah liat. gedek banget anjir sama bapanya'
Negative,USER Jempolnya kelebihan bacot'
Negative,USER KOK GUE LIAT INI SIH KAMPRET WKWK'
Negative,"USER pernah berdiri diujung kolam, terus suruh sodara q ngedorong eh didorong beneran trs q nangis like gembel basah2 an. yg bego tuh syp :('"
Negative,USER Luhut si muka bajingan skrng perusahaany bnyk duit dr mn dia'
Negative,USER Ngentot yuk'
Negative,"USER Wakakakakakak di tag ke polri gak tuh anjing, tolol banget sumpah'"
Negative,USER terus bisa apa kalo iya....rejim kunyuk ini siapa yg berani lawan...??'
Negative,USER \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 pemimpin TOLOL akan menular kan ketololannya pada pengikutnya.'
Negative,USER Waduuuh \nPusing Baca nya ..\xf0\x9f\x98\xb4\nTolol nya kelewatan...\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x83'
Negative,USER USER USER Logisnya ya memang pesanan atau memang ahoker blm bs mup on lah. Emang warga dki bego'
Negative,USER Gitu gituan apaan anjir'
Negative,USER LAH AWAS YA MAMIH GAK W RESTUIN AMA KUNYUK PAPIH/?'
Negative,USER USER Drtd anjir greget gua wwkkw'
Negative,USER u yg bego'
Negative,"USER Ini poltak bener2 manusia berwatak babi, jaman USER gencar bela sampai cocotnx itu monyong klo ngomong, skr USER di sanjung2 bak dewa. Skr sy tanya sm kau poltak babi, saat BBM naik tanpa penjelasan bahan pokok naik, TKI di pancung, kemana cocotmu'"
Negative,"USER Politisi TAI BABI pagi2 dah berkoar,,, ucapan lo gk dibutuhkan untuk NKRI,, karna lo adalah PENJILAT BANGSA.kutu loncat'"
Negative,USER Rakyat indonesia akan lihat azab yang akan kau dapat poltak..\nMulut bangke di pelihara.'
Negative,"USER SSSTTT....Mengapa harus ribut terusssssss...!.\nKita lihat saja nati tahun 2019, siapa yang akan di ridhoi oleh Allah SWT untuk kembali menjadi pemimpin Negara kita yang tercinta ini.\n\nSudah jangan berisik, bikin budek. Pada diem saja.......'"
Negative,USER Mana ada anjir. Kagak lah.'
Negative,"USER Sambunvan tertutup dengan kekehan masih singgah di bilah bibir Ocha dan berhenti saat sampai di toko kue yang ia maksud tadi. \n\nSetelah membayar, ia pun langsung bergegas menuju rumah untuk menyiapkan segala sesuatunya. Untuk Milly. Dan menunggu si kunyuk Eds sampai di rumah.'"
Negative,"USER USER Muka lu cabul, kalo punya muka sih, tapi banci mah beraninya anonim...'"
Negative,USER WOI BOLOT'
Positive,USER USER Wkwkwkwkwkwkk kebayang monyet kera sakti\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
Positive,USER emang cuma babi yg punya buntut hihihi mungkin kamu unicorn'
Negative,USER Aku suka memek kok..'
Negative,"USER Ayo mana memek kmu sini,,,,,'"
Negative,"USER Bacot, gaya sama otak timpang doi'"
Negative,USER USER Buktiin lah tolol'
Negative,USER bunda ngentot yuk'
Negative,USER Enak buat ngentot say'
Positive,USER Awas budek musikan pake henset yy'
Negative,USER Jd kesimpulannya lu kenapa bego v?'
Negative,USER Soeharto Dalang Segala Bencong hehe'
Negative,USER Ayas kunyuk.'
Negative,USER USER Iri ae lu tolol'
Negative,USER berisik tai gajedot. diemin jempol lo bisa gak.'
Negative,USER E N G G A K. dah tuh pengen gue mute anjir'
Negative,USER gila ya jaman sekarang? orang goblok bisa main twitter'
Negative,USER Kampret telat deh gua'
Positive,USER Nyari monyet ya bang? #findinghyukjae'
Negative,USER Pengen goblog-goblogin tapi masih pagi.'
Negative,USER ya kalo gak punya uang mau nabung apa anjir? nabung daun?:('
Negative,USER Ngakak asw wkwkw'
Negative,USER Kan emg idiot gimanasi'
Negative,USER gembel belajar besok un //'
Negative,"USER Dari ngebunuh musuh, dari ngebunuh minion, dari ngebunuh turtle, dari ngebunuh monster hutan, dari assist, dari ngancurin turret, dll.\n\nAmbil, lu kata ML atm wkwkwkw kampret XD'"
Negative,USER Sarap bro'
Negative,USER USER Mudah2an ada anak atau keluarga dekatmu yg jadi pecun dan pecandu narkoba supaya anda sadar dan paham mengapa tenpat2 spt Alexis harus di tutup.'
Negative,USER x || Lo ngomong aja kaga bener bangke'
Negative,USER USER WKWKWKWK BODO BANG'
Negative,USER Bacot lu orang kota yg miskin'
Negative,USER bajingan! jd pengen nasi padang kan'
Negative,USER Bodo amat!\nGak tertarik titik'
Negative,USER Hujan di udik disini mendung\nAnak siapa pakai kerudung \nMata melirik bacot anda'
